,Year,VWINX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.14,13.49,5.85,-17.63,-9.98,-9.98,20.0,97.0
1,2000,16.17,1.68,4.28,14.49,11.89,0.31,28.0,7.0
2,2001,7.39,-2.46,-0.39,9.85,7.77,0.33,24.0,4.0
3,2002,4.64,-6.69,-3.11,11.34,7.76,0.3,43.0,9.0
4,2003,9.66,22.48,12.34,-12.82,-2.69,0.31,28.0,72.0
5,2004,7.57,11.48,5.46,-3.91,2.12,0.26,0.26,20.0
6,2005,3.48,7.04,2.97,-3.56,0.51,0.24,18.0,46.0
7,2006,11.28,12.95,8.16,-1.67,3.12,0.25,19.0,10.0
8,2007,5.61,8.63,4.53,-3.03,1.07,0.25,21.0,34.0
9,2008,-9.84,-22.19,-18.61,12.35,8.77,0.25,27.0,10.0
10,2009,16.02,21.77,20.77,-5.75,-4.75,0.31,53.0,79.0
11,2010,10.65,12.33,10.03,-1.69,0.61,0.28,30.0,40.0
12,2011,9.63,0.59,1.7,9.04,7.92,0.25,48.0,2.0
13,2012,10.06,12.04,9.4,-1.99,0.66,0.25,33.0,44.0
14,2013,9.19,14.31,7.23,-5.12,1.96,0.25,36.0,32.0
15,YTD,8.24,5.81,4.98,2.43,3.26,0.25,109.0,6.0
