,Year,VWLTX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.53,-2.06,-4.7,-1.47,1.17,0.18,15.0,24.0
1,2000,13.32,11.68,11.24,1.64,2.08,0.19,25.0,8.0
2,2001,4.54,5.13,3.92,-0.59,0.62,0.19,16.0,22.0
3,2002,10.12,9.6,8.45,0.51,1.67,0.17,15.0,9.0
4,2003,5.21,5.31,4.9,-0.1,0.32,0.17,0.17,32.0
5,2004,4.12,4.48,3.77,-0.36,0.35,0.15,0.15,34.0
6,2005,3.07,3.51,3.1,-0.44,-0.02,0.15,17.0,47.0
7,2006,5.16,4.84,4.57,0.32,0.59,0.16,8.0,18.0
8,2007,2.54,3.36,1.27,-0.82,1.28,0.15,13.0,20.0
9,2008,-4.87,-2.47,-9.45,-2.4,4.57,0.15,26.0,23.0
10,2009,14.08,12.91,17.3,1.17,-3.21,0.2,15.0,65.0
11,2010,1.5,2.38,1.65,-0.88,-0.15,0.2,23.0,56.0
12,2011,10.69,10.7,10.64,-0.01,0.05,0.2,19.0,47.0
13,2012,8.08,6.78,8.87,1.3,-0.8,0.2,15.0,64.0
14,2013,-2.95,-2.55,-4.59,-0.4,1.64,0.2,35.0,10.0
15,YTD,10.18,8.5,9.8,1.68,0.39,0.39,0.39,41.0
