,Year,VWNDX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,11.57,21.04,6.72,-9.47,4.85,0.28,56.0,26.0
1,2000,15.89,-9.1,7.87,24.99,8.02,0.31,41.0,16.0
2,2001,5.72,-11.89,-4.99,17.61,10.71,0.41,33.0,7.0
3,2002,-22.25,-22.1,-18.69,-0.15,-3.56,0.45,30.0,76.0
4,2003,37.01,28.68,28.44,8.32,8.57,0.48,0.48,7.0
5,2004,13.38,10.88,12.97,2.49,0.41,0.43,0.43,43.0
6,2005,4.99,4.91,5.95,0.08,-0.96,0.36,32.0,58.0
7,2006,19.35,15.79,18.15,3.55,1.2,0.35,38.0,35.0
8,2007,-3.3,5.49,1.42,-8.79,-4.72,0.3,40.0,82.0
9,2008,-41.1,-37.0,-37.09,-4.11,-4.01,0.3,55.0,81.0
10,2009,34.69,26.46,24.13,8.23,10.56,0.33,61.0,9.0
11,2010,14.82,15.06,13.66,-0.24,1.16,0.33,50.0,30.0
12,2011,-4.0,2.11,-0.75,-6.11,-3.25,0.39,49.0,74.0
13,2012,20.78,16.0,14.57,4.77,6.21,0.35,68.0,2.0
14,2013,36.08,32.39,31.21,3.69,4.87,0.37,40.0,11.0
15,YTD,11.69,13.98,10.25,-2.28,1.44,1.44,1.44,30.0
