,Year,VWNFX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-5.81,21.04,6.72,-26.85,-12.53,0.37,26.0,94.0
1,2000,16.86,-9.1,7.87,25.97,8.99,0.37,26.0,14.0
2,2001,-3.4,-11.89,-4.99,8.49,1.59,0.4,10.0,38.0
3,2002,-16.86,-22.1,-18.69,5.24,1.83,0.42,41.0,35.0
4,2003,30.08,28.68,28.44,1.4,1.65,0.43,0.43,33.0
5,2004,18.31,10.88,12.97,7.43,5.34,0.37,0.37,7.0
6,2005,7.01,4.91,5.95,2.1,1.06,0.35,28.0,34.0
7,2006,18.25,15.79,18.15,2.45,0.09,0.33,34.0,50.0
8,2007,2.23,5.49,1.42,-3.27,0.8,0.32,51.0,47.0
9,2008,-36.7,-37.0,-37.09,0.3,0.39,0.32,37.0,53.0
10,2009,27.05,26.46,24.13,0.59,2.92,0.38,41.0,28.0
11,2010,10.62,15.06,13.66,-4.45,-3.04,0.35,29.0,88.0
12,2011,2.7,2.11,-0.75,0.59,3.45,0.35,23.0,24.0
13,2012,16.72,16.0,14.57,0.71,2.15,0.35,22.0,25.0
14,2013,30.69,32.39,31.21,-1.7,-0.53,0.36,27.0,59.0
15,YTD,11.82,13.98,10.25,-2.15,1.57,1.57,1.57,27.0
