,Year,WFBIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.7,-0.82,-1.35,-1.87,-1.35,0.23,28.0,82.0
1,2000,11.76,11.63,9.44,0.13,2.32,0.23,0.23,11.0
2,2001,8.8,8.44,7.64,0.35,1.15,0.23,0.23,17.0
3,2002,9.9,10.26,8.04,-0.35,1.87,0.23,0.23,16.0
4,2003,3.92,4.1,5.1,-0.18,-1.18,0.23,0.23,60.0
5,2004,4.05,4.34,3.91,-0.29,0.14,0.23,0.23,45.0
6,2005,2.11,2.43,1.8,-0.32,0.31,0.23,76.0,32.0
7,2006,4.75,4.33,4.15,0.42,0.6,0.23,57.0,19.0
8,2007,7.15,6.97,4.7,0.19,2.45,0.23,61.0,8.0
9,2008,5.91,5.24,-4.7,0.67,10.6,0.23,89.0,5.0
10,2009,5.2,5.93,13.97,-0.73,-8.77,0.23,103.0,93.0
11,2010,6.79,6.54,7.72,0.24,-0.93,0.23,59.0,66.0
12,2011,7.54,7.84,5.86,-0.3,1.68,0.2,122.0,15.0
13,2012,3.93,4.21,7.01,-0.28,-3.07,0.2,436.0,85.0
14,2013,-2.35,-2.02,-1.42,-0.33,-0.92,0.2,417.0,75.0
15,YTD,5.82,5.87,5.34,-0.05,0.48,0.48,0.48,37.0
