,Year,WOOPX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,10.58,21.04,20.92,-10.46,-10.34,-10.34,24.0,69.0
1,2000,20.42,-9.1,6.36,29.53,14.06,0.86,70.0,7.0
2,2001,-4.53,-11.89,-3.12,7.35,-1.41,0.93,59.0,58.0
3,2002,-17.97,-22.1,-16.55,4.13,-1.42,0.97,37.0,63.0
4,2003,30.49,28.68,36.28,1.81,-5.79,-5.79,-5.79,74.0
5,2004,14.41,10.88,16.3,3.53,-1.89,0.95,0.95,67.0
6,2005,17.62,4.91,9.25,12.71,8.37,0.96,131.0,4.0
7,2006,13.88,15.79,14.03,-1.91,-0.15,0.98,136.0,43.0
8,2007,3.11,5.49,4.85,-2.38,-1.74,0.99,117.0,63.0
9,2008,-39.43,-37.0,-39.18,-2.43,-0.25,0.99,109.0,55.0
10,2009,35.91,26.46,37.39,9.44,-1.48,0.99,64.0,41.0
11,2010,19.34,15.06,22.52,4.28,-3.18,0.99,65.0,79.0
12,2011,-1.57,2.11,-3.81,-3.68,2.25,0.99,47.0,26.0
13,2012,16.18,16.0,16.15,0.18,0.03,0.99,51.0,52.0
14,2013,40.34,32.39,34.1,7.96,6.24,0.98,52.0,11.0
15,YTD,14.69,13.98,7.43,0.71,7.25,0.91,64.0,2.0
