,Fund_Ticker,Benchmark_Index,R_Squared,Beta,Alpha,Treynor_Ratio,Currency,Year_Trailing,Std_Dev,Return,Sharpe_Ratio,Sortino_Ratio
0,FRIFX,MSCI ACWI NR USD,32.4,0.28,7.74,43.38,USD,3,5.25,12.39,2.25,4.31
1,VTWNX,Morningstar Moderate Target Risk,98.55,1.0,1.1,11.98,USD,3,6.41,12.01,1.8,3.29
2,JNBAX,Morningstar Moderate Target Risk,86.54,0.92,0.93,11.82,USD,3,6.3,10.92,1.67,3.0
3,FIOFX,Morningstar Moderate Target Risk,97.12,1.29,-0.77,10.17,USD,3,8.35,13.18,1.52,2.6
4,PTTRX,Barclays US Agg Bond TR USD,83.35,1.24,1.28,4.00,USD,3,3.68,5.03,1.34,2.18
5,TAEMX,MSCI ACWI Ex USA NR USD,79.8,0.91,-7.68,0.90,USD,3,13.02,0.88,0.13,0.18
6,VGPMX,MSCI ACWI NR USD,29.24,1.31,-43.33,-18.80,USD,3,25.4,-24.48,-0.97,-1.14
7,PRGTX,MSCI ACWI NR USD,56.49,1.05,10.49,26.14,USD,3,14.7,27.52,1.74,3.39
8,FOSFX,MSCI ACWI Ex USA NR USD,90.8,0.95,4.53,15.09,USD,3,12.76,14.42,1.12,1.88
9,OARAX,Morningstar Moderate Target Risk,33.27,0.36,1.9,15.94,USD,3,3.98,5.79,1.42,2.57
10,VMRGX,S&P 500 TR USD,83.25,1.12,-3.23,17.46,USD,3,11.07,19.56,1.67,3.26
11,FSTFX,Barclays Municipal TR USD,86.77,0.32,0.28,5.60,USD,3,1.32,1.87,1.36,2.39
12,OIBAX,Barclays US Agg Bond TR USD,36.07,1.21,-0.79,2.19,USD,3,5.46,2.71,0.51,0.7
13,PDVAX,Barclays US Agg Bond TR USD,58.16,1.41,2.14,4.50,USD,3,5.02,6.41,1.25,1.93
14,VIVAX,S&P 500 TR USD,92.85,0.96,0.66,21.58,USD,3,9.02,20.8,2.15,4.1
15,VSMGX,Morningstar Moderate Target Risk,98.52,0.95,1.2,12.14,USD,3,6.1,11.58,1.82,3.36
16,FSRAX,Morningstar Moderate Target Risk,51.68,0.56,-3.07,4.86,USD,3,5.01,2.81,0.56,0.83
17,PSILX,MSCI ACWI Ex USA NR USD,96.59,0.94,1.76,11.91,USD,3,12.25,11.28,0.93,1.5
18,PRTIX,Barclays US Agg Bond TR USD,88.53,1.22,-2.21,1.08,USD,3,3.52,1.38,0.39,0.59
19,FDGFX,S&P 500 TR USD,91.5,1.13,-2.59,18.24,USD,3,10.66,20.63,1.82,3.33
20,ABALX,Morningstar Moderate Target Risk,89.57,0.99,4.06,15.33,USD,3,6.68,15.24,2.16,4.06
21,PRDMX,S&P 500 TR USD,76.94,1.14,-3.57,17.16,USD,3,11.77,19.65,1.59,3.13
22,EQPIX,S&P 500 TR USD,90.7,0.9,0.01,20.70,USD,3,8.55,18.7,2.05,3.75
23,PRFDX,S&P 500 TR USD,93.59,0.94,-1.0,19.50,USD,3,8.75,18.32,1.97,3.53
24,CCMAX,S&P 500 TR USD,72.11,1.0,-0.83,19.71,USD,3,10.69,19.84,1.75,3.62
25,FNCMX,S&P 500 TR USD,80.89,1.14,-0.21,20.71,USD,3,11.45,23.65,1.92,3.98
26,FISCX,Morningstar Moderate Target Risk,78.05,1.11,2.1,12.85,USD,3,8.01,14.31,1.71,3.43
27,MAIOX,MSCI ACWI Ex USA NR USD,79.54,0.93,0.56,10.34,USD,3,13.34,9.69,0.76,1.13
28,PRWBX,Barclays US Agg Bond TR USD,47.63,0.21,0.79,6.71,USD,3,0.84,1.49,1.7,3.3
29,BACHX,MSCI ACWI Ex USA NR USD,64.17,1.06,-3.02,6.26,USD,3,16.84,6.67,0.46,0.71
30,FHIAX,Barclays US Agg Bond TR USD,29.09,0.88,5.39,9.29,USD,3,4.43,8.24,1.8,3.3
31,VISGX,S&P 500 TR USD,71.11,1.18,-5.12,15.67,USD,3,12.6,18.48,1.41,2.62
32,PRASX,MSCI ACWI Ex USA NR USD,74.33,0.8,2.0,12.42,USD,3,11.87,10.01,0.86,1.38
33,LTEBX,Barclays Municipal TR USD,87.95,0.57,0.14,4.95,USD,3,2.31,2.87,1.21,2.06
34,PIEQX,MSCI ACWI Ex USA NR USD,95.85,1.0,0.95,10.88,USD,3,12.98,10.88,0.86,1.37
35,VASGX,Morningstar Moderate Target Risk,97.87,1.24,0.85,11.61,USD,3,7.99,14.44,1.73,3.09
36,JCIAX,BofAML USD LIBOR 3 Mon CM,9.33,41.11,-12.94,-0.03,USD,3,4.74,-1.17,-0.24,-0.3
37,FAEMX,Barclays US Agg Bond TR USD,32.08,1.56,2.12,4.25,USD,3,7.5,6.7,0.9,1.4
38,CMSCX,S&P 500 TR USD,58.9,1.32,-12.4,9.75,USD,3,15.59,12.96,0.86,1.34
39,RPIFX,Barclays US Agg Bond TR USD,11.96,0.23,4.75,23.73,USD,3,1.84,5.62,2.96,7.04
40,AAMTX,Morningstar Moderate Target Risk,95.57,1.3,2.29,12.86,USD,3,8.45,16.71,1.87,3.45
41,OPTFX,S&P 500 TR USD,81.58,1.02,-2.21,18.24,USD,3,10.26,18.76,1.73,3.3
